CASE_NUMBER,Date,Location Description,Domestic,Beat,District,Ward,Community Area,Latitude,Longitude
hx240739,04/28/2014 05:10:00 PM,porch,False,934,9.0,20.0,61.0,41.794262145,-87.648721271
hx240837,04/28/2014 05:50:00 PM,sidewalk,False,2534,25.0,30.0,23.0,41.91163382,-87.732001232
hx229406,04/29/2014 08:48:00 AM,parking_lot,True,2012,20.0,40.0,77.0,41.986704244,-87.672532131
hx243458,04/30/2014 07:36:00 PM,apartment,True,831,8.0,15.0,66.0,41.769102111,-87.689477091
hx243655,04/30/2014 09:40:00 PM,sidewalk,False,1915,19.0,46.0,3.0,41.955957011,-87.65029121
hx246577,05/03/2014 07:10:00 AM,street,False,912,9.0,11.0,59.0,41.833177595,-87.671471689
hx247733,05/04/2014 03:15:00 AM,street,False,1532,15.0,28.0,25.0,41.888245213,-87.752908173
hx252574,05/07/2014 06:16:00 PM,street,False,924,9.0,12.0,61.0,41.815353595,-87.672432934
hx255335,05/09/2014 08:38:00 PM,yard,False,2234,22.0,34.0,75.0,41.686470228,-87.64949182
hx256233,05/10/2014 02:15:00 PM,gangway,False,1115,11.0,28.0,26.0,41.877934028,-87.729291563
hx259396,05/12/2014 11:16:00 PM,sidewalk,False,1024,10.0,22.0,30.0,41.848056734,-87.711698533
hx260788,05/14/2014 12:42:00 AM,apartment,True,1423,14.0,26.0,24.0,41.904263075,-87.691985404
hx264520,05/16/2014 09:00:00 PM,residential_yard__front_back_,False,1024,10.0,22.0,30.0,41.845615296,-87.71238279
hx265196,05/17/2014 12:06:00 PM,street,False,323,3.0,6.0,69.0,41.759800704,-87.613916233
hx266139,05/18/2014 03:35:00 AM,vehicle_non_commercial,False,2521,25.0,31.0,20.0,41.931580735,-87.742934609
hx267017,05/18/2014 08:29:00 PM,house,False,1632,16.0,36.0,17.0,41.941040735,-87.788590101
hx268077,05/19/2014 05:04:00 PM,alley,False,834,8.0,18.0,70.0,41.7401952,-87.702132305
hx269684,05/20/2014 07:40:00 PM,alley,False,1131,11.0,24.0,26.0,41.870767846,-87.736459835
hx272763,05/23/2014 12:27:00 AM,yard,True,213,2.0,3.0,38.0,41.823156373,-87.621587057
hx274827,05/24/2014 04:44:00 PM,street,False,732,7.0,6.0,68.0,41.768402925,-87.643255778
hx276174,05/25/2014 05:30:00 PM,street,False,633,6.0,6.0,44.0,41.728202479,-87.614309181
hx276332,05/25/2014 08:01:00 PM,street,False,1123,11.0,28.0,27.0,41.88358253,-87.709430008
hx277235,05/26/2014 03:18:00 PM,street,False,1523,15.0,28.0,25.0,41.887237261,-87.75601322
hx278380,05/27/2014 01:28:00 PM,street,False,2234,22.0,34.0,75.0,41.690133279,-87.654476281
hx279114,05/27/2014 11:02:00 PM,auto,False,835,8.0,18.0,70.0,41.748316128,-87.681095074
hx280568,05/28/2014 11:42:00 PM,vehicle_non_commercial,False,422,4.0,7.0,46.0,41.751295696,-87.554100174
hx280665,05/29/2014 03:55:00 AM,parking_lot_garage_non_resid__,False,225,2.0,3.0,37.0,41.794583892,-87.629307346
hx281278,05/29/2014 02:58:00 PM,sidewalk,False,1014,10.0,24.0,29.0,41.858445344,-87.721189877
hx281542,05/29/2014 06:09:00 PM,street,False,232,2.0,20.0,68.0,41.78966516,-87.629148488
hx281461,05/29/2014 06:12:00 PM,retail_store,False,624,6.0,6.0,44.0,41.750807192,-87.606434385
hx285750,06/01/2014 07:54:00 PM,sidewalk,False,1522,15.0,29.0,25.0,41.874540188,-87.761613138
hx288115,06/03/2014 01:29:00 PM,street,False,1132,11.0,24.0,29.0,41.867099694,-87.723574471
