CASE_NUMBER,NUM_CRIMES_DISTRICT,NUM_CRIMES_BEAT,NUM_CRIMES_COMM_AREA,NUM_CRIMES_WARD,NUM_CRIMES_BLOCK,NUM_CRIMES_ZIP_CODE,NUM_CRIMES_STREET_ORG,AREA_INCOME,AREA_ASSAULT_HOMICIDE,AREA_FIREARM,AREA_POVERTY_HEALTH,AREA_HIGH_SCHOOL_DIPLOMA,AREA_UNEMPLOYMENT,AREA_BIRTH_RATE,NUM_OF_DEAD,NUM_OF_ARREST,NUM_OF_VICTIMS,IS_DOMESTIC,NIGHT_CRIME,IS_KILLED_A_CHILD,MULTIPLE_ARRESTS,HAS_STREET_ORGANIZATION,IS_RATIAL,ARRESTED_RACE,VICTIM_RACE,AVER_AGE,AVG_NUM_CHARGES,IMMEDIATE_ARREST,IS_HOMICIDE
jb184667,43,2,18,14,1,16,0,21375,5.8,3.7,15.1,19.6,7.9,17.3,1,1,1,0,0,0,0,0,0,_1142,_1140,55.0,1.0,0,1
jb189927,165,15,83,126,1,139,84,12524,26.6,24.6,30.6,42.4,17.4,21.4,1,1,1,0,0,0,0,1,1,_1142,_1140,35.0,2.0,0,1
jb193144,142,20,75,90,1,145,0,17974,40.9,37.7,19.5,17.4,17.8,14.3,0,1,1,1,0,0,0,0,0,_1142,_1140,25.0,2.0,0,0
jb193425,174,11,244,88,1,178,70,15920,34.4,28.5,27.0,25.0,21.0,18.0,0,1,1,0,0,0,0,1,0,_1142,_1140,35.0,1.0,0,0
jb196683,106,8,21,87,1,46,26,23098,13.6,9.1,26.1,16.9,16.7,10.3,1,1,1,1,0,0,0,1,0,_1142,_1140,65.0,4.0,0,1
jb202761,142,16,244,88,1,178,70,15920,34.4,28.5,27.0,25.0,21.0,18.0,0,1,1,0,0,0,0,1,0,_1142,_1140,35.0,2.0,0,0
jb203434,150,11,12,20,2,108,0,15898,10.7,8.8,15.3,33.4,7.8,18.8,0,1,1,0,0,0,0,0,1,_1142,_1140,,1.0,0,0
jb208993,295,29,99,196,1,470,234,10951,40.0,36.0,40.3,26.2,25.2,20.1,0,1,2,0,0,0,0,1,1,_1142,mixed,22.5,1.0,0,0
jb209073,150,9,5,20,1,63,0,16145,16.6,15.4,13.0,36.4,14.2,18.1,0,1,1,0,0,0,0,0,0,_1142,_1140,25.0,2.0,0,0
jb209359,295,19,115,112,2,178,150,13391,29.0,22.7,32.6,36.8,12.3,19.2,1,1,1,1,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
jb210902,174,13,244,88,1,215,189,15920,34.4,28.5,27.0,25.0,21.0,18.0,1,1,1,1,0,0,0,1,0,_1142,_1140,55.0,1.0,0,1
jb211626,153,15,120,156,2,185,85,12548,46.7,37.6,38.6,30.4,18.5,20.6,0,1,1,0,0,0,0,1,0,_1142,_1140,35.0,2.0,0,0
jb212915,150,10,18,29,2,25,0,22078,12.4,11.6,9.5,18.3,8.8,14.7,0,1,1,0,0,0,0,0,0,_1142,_1140,35.0,4.0,0,0
jb213540,147,21,55,94,1,121,66,15393,36.9,33.7,28.0,28.2,17.7,18.1,1,1,1,1,0,0,0,1,0,_1142,_1140,55.0,1.0,0,1
jb214232,76,3,31,84,1,52,0,19709,38.0,35.6,15.7,15.6,18.3,12.0,0,1,1,1,0,0,0,0,0,_1142,_1140,10.0,2.0,0,0
jb214537,213,14,99,107,1,152,15,10559,47.2,39.3,32.3,30.3,34.7,20.3,0,1,1,0,0,0,0,1,1,_1142,_1140,,1.0,0,0
jb215189,295,10,67,196,1,235,32,13596,38.4,37.1,39.7,26.2,16.4,19.4,0,1,1,0,0,0,0,1,0,_1142,_1140,45.0,4.0,0,0
jb215386,153,14,52,44,1,185,50,10697,11.1,8.6,28.1,58.7,11.5,19.5,0,2,1,0,0,0,1,1,0,mixed,_1140,35.0,2.5,1,0
jb215729,142,8,50,27,1,37,53,15246,7.0,5.5,18.6,37.0,11.5,20.0,1,1,1,0,0,0,0,1,1,_1142,_1140,25.0,1.0,0,1
jb219084,44,5,12,17,1,26,16,20489,4.7,4.6,14.6,25.7,9.3,18.5,1,1,1,1,0,0,0,1,1,_1142,_1140,35.0,2.0,0,1
jb219988,295,26,99,196,1,705,351,10951,40.0,36.0,40.3,26.2,25.2,20.1,0,1,3,0,0,0,0,1,0,_1142,mixed,20.0,1.0,0,0
jb220197,72,9,43,100,1,225,60,41488,12.7,9.3,21.6,11.2,10.7,18.2,0,1,3,1,0,0,0,1,1,_1142,mixed,25.0,4.0,0,0
jb220407,165,13,83,24,1,139,21,12524,26.6,24.6,30.6,42.4,17.4,21.4,0,1,1,1,0,0,0,1,0,_1142,_1140,45.0,1.0,0,0
jb220614,295,12,99,196,1,235,117,10951,40.0,36.0,40.3,26.2,25.2,20.1,1,1,1,0,0,0,0,1,0,_1142,_1140,35.0,1.0,0,1
jb221924,179,12,75,84,1,161,0,17974,40.9,37.7,19.5,17.4,17.8,14.3,0,1,1,0,0,0,0,0,0,_1142,_1140,35.0,2.0,0,0
jb225247,58,4,12,22,1,26,16,20489,4.7,4.6,14.6,25.7,9.3,18.5,0,1,1,0,0,0,0,1,0,_1142,_1140,10.0,1.0,0,0
jb226161,142,15,50,27,2,37,53,15246,7.0,5.5,18.6,37.0,11.5,20.0,0,3,1,0,0,0,1,1,0,mixed,_1140,35.0,2.0,0,0
jb227774,179,12,69,84,2,161,0,20320,45.2,37.9,25.3,13.7,19.0,14.4,1,2,1,0,0,0,1,0,0,mixed,_1140,25.0,2.5,0,1
jb228872,76,10,31,84,1,161,35,19709,38.0,35.6,15.7,15.6,18.3,12.0,0,1,1,0,0,0,0,1,0,_1142,_1140,10.0,1.0,0,0
jb236716,153,27,120,156,2,185,35,12548,46.7,37.6,38.6,30.4,18.5,20.6,1,3,1,0,0,0,1,1,0,mixed,_1140,55.0,1.0,0,1
jb238695,295,15,67,196,3,470,64,13596,38.4,37.1,39.7,26.2,16.4,19.4,0,1,2,0,0,0,0,1,0,_1142,mixed,25.0,1.0,0,0
jb239188,142,21,244,112,1,356,140,15920,34.4,28.5,27.0,25.0,21.0,18.0,0,1,2,0,0,0,0,1,1,_1142,mixed,30.0,1.0,0,0
jb239602,213,14,104,118,1,151,101,11993,45.1,44.9,42.2,29.4,21.3,20.0,1,2,1,0,0,0,1,1,0,mixed,_1140,35.0,1.5,0,1
jb242283,174,34,244,196,1,215,189,15920,34.4,28.5,27.0,25.0,21.0,18.0,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,2.0,0,1
jb243194,180,20,90,126,1,163,70,17213,49.7,44.6,25.6,17.9,18.9,18.2,0,2,1,0,0,0,1,1,0,mixed,_1140,10.0,2.5,0,0
jb246307,106,6,7,68,1,42,0,39243,5.8,5.0,18.2,5.3,6.9,9.7,1,1,1,1,0,0,0,0,0,_1142,_1140,65.0,1.0,0,1
jb265786,180,7,49,126,1,132,50,18928,31.1,25.0,28.3,17.9,17.3,15.1,1,1,1,1,0,0,0,1,0,_1142,_1140,65.0,2.0,0,1
jb246855,150,18,80,118,1,108,75,14405,22.4,19.4,22.2,31.6,11.9,20.1,0,1,1,0,0,0,0,1,0,_1142,_1140,10.0,1.0,0,0
